time,x,y,heading_deg,steer_deg,xte,target_idx
0.00,-0.017,0.029,0.00,-0.65,0.033,7
0.11,0.130,-0.007,-0.04,0.19,0.130,8
0.21,0.299,-0.028,-0.03,0.62,0.208,8
0.31,0.483,-0.013,0.01,0.29,0.026,8
0.41,0.629,-0.036,0.03,0.63,0.129,9
0.52,0.754,-0.057,0.06,1.06,0.256,9
0.62,0.899,-0.012,0.13,0.07,0.111,9
0.72,1.039,-0.001,0.13,-0.17,0.028,9
0.82,1.233,-0.030,0.12,0.43,0.225,10
0.93,1.353,0.007,0.15,-0.35,0.163,10
1.03,1.493,0.021,0.13,-0.66,0.031,10
1.13,1.638,0.008,0.09,-0.26,0.123,11
1.23,1.771,-0.009,0.07,0.09,0.250,11
1.33,1.948,0.027,0.08,-0.70,0.077,11
1.44,2.088,-0.003,0.03,0.01,0.067,12
1.54,2.254,0.015,0.03,-0.34,0.234,12
1.64,2.412,0.008,0.01,-0.19,0.114,12
1.74,2.572,-0.004,0.00,0.06,0.047,13
1.84,2.687,0.019,0.01,-0.37,0.163,13
1.95,2.856,-0.010,-0.02,0.22,0.176,13
2.05,3.010,0.010,-0.00,-0.21,0.023,13
2.15,3.154,-0.018,-0.01,0.35,0.124,14
2.25,3.300,0.016,0.01,-0.32,0.236,14
2.35,3.450,-0.008,-0.01,0.20,0.087,14
2.46,3.617,0.042,-0.00,-0.77,0.091,15
2.56,3.768,-0.009,-0.05,0.25,0.232,15
2.67,3.929,0.001,-0.03,0.03,0.112,15
2.77,4.044,0.002,-0.03,-0.01,0.003,15
2.87,4.216,0.010,-0.03,-0.16,0.175,16
2.97,4.331,-0.020,-0.04,0.47,0.217,16
3.07,4.532,-0.022,-0.01,0.52,0.026,16
3.18,4.694,0.026,0.02,-0.51,0.150,17
3.28,4.788,0.002,-0.01,-0.02,0.242,17
3.38,4.929,0.018,-0.01,-0.36,0.124,17
3.48,5.118,0.051,-0.04,-0.88,0.084,18
3.58,5.258,0.006,-0.09,-0.00,0.206,18
3.69,5.407,0.019,-0.09,-0.29,0.151,18
3.79,5.520,-0.003,-0.11,0.21,0.036,18
3.89,5.710,0.006,-0.09,0.00,0.153,19
4.00,5.893,0.014,-0.09,-0.16,0.169,19
4.09,5.995,0.029,-0.10,-0.51,0.073,19
4.20,6.149,0.001,-0.13,0.15,0.087,20
4.30,6.323,0.005,-0.12,0.07,0.244,20
4.40,6.465,0.004,-0.12,0.08,0.102,20
4.50,6.559,0.016,-0.11,-0.20,0.018,20
4.61,6.771,-0.035,-0.13,0.85,0.207,21
4.71,6.885,-0.010,-0.08,0.31,0.188,21
4.82,7.063,-0.006,-0.06,0.22,0.011,21
4.92,7.183,0.014,-0.04,-0.20,0.112,22
5.02,7.374,0.014,-0.06,-0.21,0.204,22
5.13,7.509,0.018,-0.07,-0.30,0.071,22
5.23,7.689,0.010,-0.09,-0.08,0.112,23
5.34,7.817,0.048,-0.09,-0.83,0.245,23
5.44,7.912,0.013,-0.14,-0.08,0.171,23
5.54,8.120,-0.008,-0.15,0.32,0.039,24
5.64,8.255,0.002,-0.13,0.12,0.173,24
5.74,8.349,-0.010,-0.12,0.36,0.239,24
