time,x,y,heading_deg,steer_deg,xte,target_idx
0.00,0.011,-0.015,0.00,0.60,0.019,9
0.10,0.128,-0.026,0.04,1.04,0.131,9
0.21,0.301,-0.019,0.10,0.56,0.019,10
0.32,0.452,-0.032,0.13,1.12,0.153,10
0.44,0.614,-0.004,0.20,-0.21,0.011,11
0.54,0.726,0.010,0.19,-0.79,0.122,11
0.65,0.908,0.040,0.14,-1.80,0.040,12
0.76,1.034,-0.019,0.03,0.76,0.130,12
0.85,1.244,-0.023,0.08,0.77,0.043,13
0.97,1.279,-0.003,0.12,-0.09,0.071,13
1.07,1.499,0.055,0.12,-2.35,0.056,14
1.19,1.650,-0.001,-0.02,0.10,0.140,14
1.29,1.791,-0.009,-0.02,0.38,0.022,15
1.40,1.974,0.012,0.00,-0.54,0.139,15
1.52,2.120,-0.009,-0.03,0.42,0.012,16
1.63,2.272,-0.008,-0.00,0.36,0.143,16
1.74,2.395,0.015,0.02,-0.59,0.025,17
1.85,2.521,-0.025,-0.02,1.09,0.109,17
1.97,2.697,-0.015,0.05,0.49,0.025,18
2.09,2.856,-0.029,0.08,1.10,0.142,18
2.19,2.994,0.008,0.14,-0.57,0.026,19
2.29,3.124,0.018,0.11,-0.95,0.107,19
2.40,3.293,-0.007,0.05,0.17,0.028,20
2.52,3.419,0.009,0.06,-0.51,0.099,20
2.62,3.572,0.013,0.03,-0.54,0.052,21
2.74,3.740,-0.012,-0.00,0.53,0.118,21
2.84,3.909,0.029,0.03,-1.16,0.033,22
2.94,4.059,0.006,-0.04,-0.20,0.135,22
3.04,4.191,-0.010,-0.05,0.46,0.037,23
3.15,4.346,-0.010,-0.02,0.45,0.120,23
3.27,4.493,0.023,0.00,-0.86,0.042,24
3.37,4.643,0.027,-0.05,-1.07,0.118,24
3.47,4.824,-0.016,-0.11,0.83,0.018,25
3.59,4.945,0.001,-0.06,0.07,0.115,25
3.69,5.088,0.011,-0.06,-0.32,0.045,26
3.80,5.247,0.006,-0.08,-0.10,0.115,26
3.92,5.404,0.020,-0.08,-0.60,0.036,27
4.04,5.513,-0.003,-0.12,0.34,0.079,27
4.14,5.700,-0.006,-0.10,0.40,0.036,28
4.24,5.847,0.017,-0.07,-0.60,0.112,28
4.36,6.000,-0.037,-0.11,1.60,0.053,29
4.45,6.145,0.007,-0.01,-0.27,0.107,29
4.56,6.300,0.005,-0.03,-0.13,0.040,30
4.67,6.416,-0.012,-0.04,0.56,0.078,30
4.79,6.614,-0.009,-0.00,0.34,0.029,31
4.89,6.759,0.016,0.02,-0.73,0.119,31
5.00,6.883,0.021,-0.03,-0.72,0.064,32
5.10,7.060,-0.022,-0.07,1.06,0.119,32
5.20,7.177,-0.036,-0.01,1.33,0.077,33
5.32,7.373,-0.019,0.07,0.65,0.129,33
5.42,7.531,0.014,0.11,-0.73,0.021,34
5.52,7.665,0.011,0.07,-0.60,0.118,34
5.64,7.804,0.013,0.03,-0.55,0.046,35
5.74,7.953,-0.028,-0.00,1.19,0.107,35
5.84,8.113,-0.014,0.07,0.39,0.040,36
5.95,8.266,0.000,0.09,-0.19,0.115,36
6.05,8.392,0.032,0.08,-1.33,0.069,37
6.17,8.570,0.012,0.00,-0.53,0.118,37
6.27,8.715,0.003,-0.03,-0.05,0.040,38
6.37,8.880,0.039,-0.03,-1.60,0.131,38
6.49,8.997,-0.014,-0.13,0.75,0.061,39
6.59,9.157,0.048,-0.08,-1.83,0.111,39
6.69,9.302,0.013,-0.19,-0.14,0.058,40
6.80,9.447,-0.016,-0.20,1.03,0.090,40
6.91,9.626,0.026,-0.14,-0.75,0.043,41
7.02,9.756,0.007,-0.18,0.04,0.095,41
7.12,9.902,-0.014,-0.18,0.85,0.062,42
7.24,10.047,-0.007,-0.13,0.52,0.085,42
7.34,10.184,-0.015,-0.10,0.74,0.082,43
7.44,10.370,0.030,-0.05,-1.17,0.110,43
7.55,10.504,-0.011,-0.12,0.63,0.063,44
7.66,10.631,0.028,-0.09,-0.96,0.071,44
7.77,10.782,-0.009,-0.14,0.72,0.086,44
7.87,10.968,-0.015,-0.10,0.81,0.101,45
7.99,11.092,-0.005,-0.05,0.26,0.078,46
8.09,11.224,0.037,-0.04,-1.43,0.066,46
8.19,11.378,-0.014,-0.12,0.88,0.094,46
8.30,11.537,0.018,-0.07,-0.58,0.067,47
8.41,11.695,-0.017,-0.10,0.80,0.080,48
8.52,11.848,0.000,-0.06,0.09,0.074,48
8.62,12.004,-0.005,-0.05,0.28,0.072,49
8.74,12.155,-0.011,-0.03,0.53,0.081,49
8.84,12.299,-0.009,-0.00,0.35,0.079,50
8.94,12.447,-0.014,0.02,0.53,0.071,50
9.05,12.582,-0.020,0.05,0.83,0.099,50
9.15,12.749,0.022,0.10,-1.08,0.073,51
9.26,12.888,0.008,0.04,-0.42,0.093,51
9.37,13.044,-0.015,0.01,0.60,0.064,52
9.47,13.198,-0.005,0.05,0.10,0.085,53
9.59,13.357,0.037,0.05,-1.59,0.082,53
9.70,13.509,0.002,-0.04,-0.00,0.076,54
9.82,13.666,0.028,-0.04,-1.07,0.086,54
9.92,13.794,-0.026,-0.11,1.42,0.096,54
10.04,13.929,-0.005,-0.02,0.25,0.042,55
10.15,14.109,-0.019,-0.01,0.73,0.082,56
10.26,14.257,-0.025,0.04,0.97,0.073,56
10.37,14.402,0.003,0.09,-0.31,0.089,56
10.49,14.548,-0.022,0.08,0.74,0.061,57
10.59,14.693,-0.041,0.12,1.64,0.108,57
10.71,14.861,-0.022,0.22,0.47,0.072,58
10.80,14.980,0.022,0.25,-1.47,0.116,58
10.92,15.139,0.006,0.16,-0.54,0.045,59
11.02,15.329,0.024,0.13,-1.12,0.071,60
11.14,15.469,0.012,0.06,-0.61,0.074,60
11.24,15.596,-0.005,0.02,0.17,0.103,60
11.34,15.753,0.028,0.03,-1.20,0.062,61
11.45,15.925,-0.013,-0.04,0.54,0.076,62
11.55,16.050,0.013,-0.01,-0.52,0.052,62
11.65,16.172,0.024,-0.04,-0.99,0.132,62
11.75,16.353,0.002,-0.10,0.11,0.052,63
11.87,16.511,-0.017,-0.09,0.94,0.094,63
11.97,16.651,0.004,-0.04,-0.10,0.048,64
12.09,16.796,0.017,-0.04,-0.68,0.111,64
12.19,16.964,-0.004,-0.08,0.31,0.058,65
12.29,17.122,0.035,-0.06,-1.47,0.092,65
12.41,17.257,0.006,-0.15,0.05,0.050,66
12.52,17.405,-0.019,-0.15,1.15,0.106,66
12.62,17.549,-0.014,-0.08,0.69,0.042,67
12.72,17.722,-0.006,-0.04,0.35,0.089,67
12.84,17.842,-0.004,-0.02,0.17,0.031,68
12.94,17.973,-0.025,-0.01,1.10,0.143,68
13.04,18.149,-0.011,0.06,0.34,0.037,69
13.15,18.288,-0.043,0.08,1.75,0.134,69
13.25,18.431,-0.010,0.19,0.06,0.019,70
13.37,18.566,0.024,0.19,-1.39,0.152,70
13.47,18.719,0.027,0.11,-1.23,0.027,71
13.59,18.918,-0.021,0.03,0.87,0.103,71
13.69,19.067,-0.002,0.08,-0.07,0.048,72
13.79,19.184,0.003,0.08,-0.30,0.137,72
13.90,19.332,-0.027,0.06,0.95,0.029,73
14.02,19.489,-0.010,0.12,0.21,0.134,73
14.12,19.647,-0.017,0.13,0.41,0.029,74
14.24,19.751,-0.013,0.16,0.27,0.129,74
14.35,19.950,-0.002,0.17,-0.24,0.025,75
14.45,20.102,-0.002,0.16,-0.20,0.125,75
14.55,20.254,0.001,0.15,-0.32,0.028,76
14.67,20.374,0.019,0.13,-1.06,0.149,76
14.77,20.542,0.001,0.06,-0.18,0.014,77
14.87,20.725,-0.000,0.05,-0.09,0.105,77
14.99,20.867,-0.003,0.05,0.02,0.037,78
15.10,20.977,-0.013,0.05,0.46,0.148,78
15.20,21.158,-0.008,0.08,0.18,0.027,79
15.30,21.311,0.042,0.09,-2.03,0.130,79
