x_m,y_m
0.000,0.000
1.429,0.000
2.857,0.000
4.286,0.000
5.714,0.000
7.143,0.000
8.571,0.000
10.000,0.000
11.429,0.000
12.857,0.000
14.286,0.000
15.714,0.000
17.143,0.000
18.571,0.000
20.000,0.000
21.429,0.000
22.857,0.000
24.286,0.000
25.714,0.000
27.143,0.000
28.571,0.000
30.000,0.000
31.429,0.000
32.857,0.000
34.286,0.000
35.714,0.000
37.143,0.000
38.571,0.000
40.000,0.000
41.429,0.000
42.857,0.000
44.286,0.000
45.714,0.000
47.143,0.000
48.571,0.000
50.000,0.000
51.429,0.000
52.857,0.000
54.286,0.000
55.714,0.000
57.143,0.000
58.571,0.000
60.000,0.000
61.429,0.000
62.857,0.000
64.286,0.000
65.714,0.000
67.143,0.000
68.571,0.000
70.000,0.000
70.000,0.000
70.585,0.016
71.169,0.062
71.750,0.140
72.325,0.249
72.894,0.388
73.455,0.557
74.006,0.755
74.545,0.983
75.072,1.239
75.584,1.523
76.081,1.834
76.560,2.170
77.021,2.532
77.461,2.917
77.881,3.326
78.278,3.756
78.652,4.207
79.001,4.677
79.325,5.165
79.622,5.670
79.892,6.190
80.134,6.723
80.348,7.268
80.532,7.824
80.686,8.389
80.810,8.962
80.903,9.540
80.965,10.122
80.996,10.707
80.996,11.293
80.965,11.878
80.903,12.460
80.810,13.038
80.686,13.611
80.532,14.176
80.348,14.732
80.134,15.277
79.892,15.810
79.622,16.330
79.325,16.835
79.001,17.323
78.652,17.793
78.278,18.244
77.881,18.674
77.461,19.083
77.021,19.468
76.560,19.830
76.081,20.166
75.584,20.477
75.072,20.761
74.545,21.017
74.006,21.245
73.455,21.443
72.894,21.612
72.325,21.751
71.750,21.860
71.169,21.938
70.585,21.984
70.000,22.000
70.000,22.000
68.571,22.000
67.143,22.000
65.714,22.000
64.286,22.000
62.857,22.000
61.429,22.000
60.000,22.000
58.571,22.000
57.143,22.000
55.714,22.000
54.286,22.000
52.857,22.000
51.429,22.000
50.000,22.000
48.571,22.000
47.143,22.000
45.714,22.000
44.286,22.000
42.857,22.000
41.429,22.000
40.000,22.000
38.571,22.000
37.143,22.000
35.714,22.000
34.286,22.000
32.857,22.000
31.429,22.000
30.000,22.000
28.571,22.000
27.143,22.000
25.714,22.000
24.286,22.000
22.857,22.000
21.429,22.000
20.000,22.000
18.571,22.000
17.143,22.000
15.714,22.000
14.286,22.000
12.857,22.000
11.429,22.000
10.000,22.000
8.571,22.000
7.143,22.000
5.714,22.000
4.286,22.000
2.857,22.000
1.429,22.000
0.000,22.000
-0.000,4.000
-0.479,4.013
-0.957,4.051
-1.432,4.115
-1.902,4.203
-2.368,4.317
-2.827,4.455
-3.277,4.618
-3.719,4.804
-4.150,5.014
-4.569,5.246
-4.975,5.500
-5.367,5.776
-5.744,6.071
-6.105,6.387
-6.448,6.721
-6.773,7.073
-7.079,7.442
-7.365,7.827
-7.630,8.226
-7.873,8.639
-8.094,9.064
-8.292,9.501
-8.466,9.947
-8.617,10.402
-8.743,10.864
-8.844,11.332
-8.920,11.805
-8.971,12.282
-8.997,12.760
-8.997,13.240
-8.971,13.718
-8.920,14.195
-8.844,14.668
-8.743,15.136
-8.617,15.598
-8.466,16.053
-8.292,16.499
-8.094,16.936
-7.873,17.361
-7.630,17.774
-7.365,18.173
-7.079,18.558
-6.773,18.927
-6.448,19.279
-6.105,19.613
-5.744,19.929
-5.367,20.224
-4.975,20.500
-4.569,20.754
-4.150,20.986
-3.719,21.196
-3.277,21.382
-2.827,21.545
-2.368,21.683
-1.902,21.797
-1.432,21.885
-0.957,21.949
-0.479,21.987
0.000,22.000
0.000,4.000
1.429,4.000
2.857,4.000
4.286,4.000
5.714,4.000
7.143,4.000
8.571,4.000
10.000,4.000
11.429,4.000
12.857,4.000
14.286,4.000
15.714,4.000
17.143,4.000
18.571,4.000
20.000,4.000
21.429,4.000
22.857,4.000
24.286,4.000
25.714,4.000
27.143,4.000
28.571,4.000
30.000,4.000
31.429,4.000
32.857,4.000
34.286,4.000
35.714,4.000
37.143,4.000
38.571,4.000
40.000,4.000
41.429,4.000
42.857,4.000
44.286,4.000
45.714,4.000
47.143,4.000
48.571,4.000
50.000,4.000
51.429,4.000
52.857,4.000
54.286,4.000
55.714,4.000
57.143,4.000
58.571,4.000
60.000,4.000
61.429,4.000
62.857,4.000
64.286,4.000
65.714,4.000
67.143,4.000
68.571,4.000
70.000,4.000
70.000,4.000
70.585,4.016
71.169,4.062
71.750,4.140
72.325,4.249
72.894,4.388
73.455,4.557
74.006,4.755
74.545,4.983
75.072,5.239
75.584,5.523
76.081,5.834
76.560,6.170
77.021,6.532
77.461,6.917
77.881,7.326
78.278,7.756
78.652,8.207
79.001,8.677
79.325,9.165
79.622,9.670
79.892,10.190
80.134,10.723
80.348,11.268
80.532,11.824
80.686,12.389
80.810,12.962
80.903,13.540
80.965,14.122
80.996,14.707
80.996,15.293
80.965,15.878
80.903,16.460
80.810,17.038
80.686,17.611
80.532,18.176
80.348,18.732
80.134,19.277
79.892,19.810
79.622,20.330
79.325,20.835
79.001,21.323
78.652,21.793
78.278,22.244
77.881,22.674
77.461,23.083
77.021,23.468
76.560,23.830
76.081,24.166
75.584,24.477
75.072,24.761
74.545,25.017
74.006,25.245
73.455,25.443
72.894,25.612
72.325,25.751
71.750,25.860
71.169,25.938
70.585,25.984
70.000,26.000
70.000,26.000
68.571,26.000
67.143,26.000
65.714,26.000
64.286,26.000
62.857,26.000
61.429,26.000
60.000,26.000
58.571,26.000
57.143,26.000
55.714,26.000
54.286,26.000
52.857,26.000
51.429,26.000
50.000,26.000
48.571,26.000
47.143,26.000
45.714,26.000
44.286,26.000
42.857,26.000
41.429,26.000
40.000,26.000
38.571,26.000
37.143,26.000
35.714,26.000
34.286,26.000
32.857,26.000
31.429,26.000
30.000,26.000
28.571,26.000
27.143,26.000
25.714,26.000
24.286,26.000
22.857,26.000
21.429,26.000
20.000,26.000
18.571,26.000
17.143,26.000
15.714,26.000
14.286,26.000
12.857,26.000
11.429,26.000
10.000,26.000
8.571,26.000
7.143,26.000
5.714,26.000
4.286,26.000
2.857,26.000
1.429,26.000
0.000,26.000
-0.000,8.000
-0.479,8.013
-0.957,8.051
-1.432,8.115
-1.902,8.203
-2.368,8.317
-2.827,8.455
-3.277,8.618
-3.719,8.804
-4.150,9.014
-4.569,9.246
-4.975,9.500
-5.367,9.776
-5.744,10.071
-6.105,10.387
-6.448,10.721
-6.773,11.073
-7.079,11.442
-7.365,11.827
-7.630,12.226
-7.873,12.639
-8.094,13.064
-8.292,13.501
-8.466,13.947
-8.617,14.402
-8.743,14.864
-8.844,15.332
-8.920,15.805
-8.971,16.282
-8.997,16.760
-8.997,17.240
-8.971,17.718
-8.920,18.195
-8.844,18.668
-8.743,19.136
-8.617,19.598
-8.466,20.053
-8.292,20.499
-8.094,20.936
-7.873,21.361
-7.630,21.774
-7.365,22.173
-7.079,22.558
-6.773,22.927
-6.448,23.279
-6.105,23.613
-5.744,23.929
-5.367,24.224
-4.975,24.500
-4.569,24.754
-4.150,24.986
-3.719,25.196
-3.277,25.382
-2.827,25.545
-2.368,25.683
-1.902,25.797
-1.432,25.885
-0.957,25.949
-0.479,25.987
0.000,26.000
0.000,8.000
1.429,8.000
2.857,8.000
4.286,8.000
5.714,8.000
7.143,8.000
8.571,8.000
10.000,8.000
11.429,8.000
12.857,8.000
14.286,8.000
15.714,8.000
17.143,8.000
18.571,8.000
20.000,8.000
21.429,8.000
22.857,8.000
24.286,8.000
25.714,8.000
27.143,8.000
28.571,8.000
30.000,8.000
31.429,8.000
32.857,8.000
34.286,8.000
35.714,8.000
37.143,8.000
38.571,8.000
40.000,8.000
41.429,8.000
42.857,8.000
44.286,8.000
45.714,8.000
47.143,8.000
48.571,8.000
50.000,8.000
51.429,8.000
52.857,8.000
54.286,8.000
55.714,8.000
57.143,8.000
58.571,8.000
60.000,8.000
61.429,8.000
62.857,8.000
64.286,8.000
65.714,8.000
67.143,8.000
68.571,8.000
70.000,8.000
70.000,8.000
70.585,8.016
71.169,8.062
71.750,8.140
72.325,8.249
72.894,8.388
73.455,8.557
74.006,8.755
74.545,8.983
75.072,9.239
75.584,9.523
76.081,9.834
76.560,10.170
77.021,10.532
77.461,10.917
77.881,11.326
78.278,11.756
78.652,12.207
79.001,12.677
79.325,13.165
79.622,13.670
79.892,14.190
80.134,14.723
80.348,15.268
80.532,15.824
80.686,16.389
80.810,16.962
80.903,17.540
80.965,18.122
80.996,18.707
80.996,19.293
80.965,19.878
80.903,20.460
80.810,21.038
